Escenario,t,S,R,A
Alta intensidad,0.10666666666666667,1071405.4071749866,1105.4669452783965,0.6774654927869088
Alta intensidad,0.11,1071446.4146314661,1108.890224087047,0.670724598500552
Alta intensidad,0.11333333333333334,1071545.515365923,1112.3256485575816,0.6640507772381575
Alta intensidad,0.11666666666666667,1071702.2810987227,1115.7732360449788,0.6574433616092097
Alta intensidad,0.12000000000000001,1071916.286324987,1119.2330042803972,0.6509016908614514
Alta intensidad,0.12333333333333334,1072187.1083469784,1122.7049713684733,0.6444251108259648
Alta intensidad,0.12666666666666668,1072514.327318851,1126.1891557834426,0.638012973837347
Alta intensidad,0.13,1072897.5262788304,1129.685576366415,0.6316646386781023
Alta intensidad,0.13333333333333333,1073336.2911889383,1133.1942523219657,0.6253794705087177
Alta intensidad,0.1366666666666667,1073830.2109687412,1136.7152032152107,0.6191568408079137
Alta intensidad,0.14,1074378.8775328961,1140.2484489685976,0.6129961273067672
Alta intensidad,0.14333333333333334,1074981.8858236053,1143.7940098590193,0.6068967139295437
Alta intensidad,0.14666666666666667,1075638.8338458263,1147.351906514741,0.60085799073058
Alta intensidad,0.15000000000000002,1076349.3226940453,1150.922159912782,0.5948793538398699
Alta intensidad,0.15333333333333335,1077112.9565990693,1154.5047913752614,0.5889602053891936
Alta intensidad,0.15666666666666668,1077929.342959942,1158.0998225665116,0.5830999534526474
Alta intensidad,0.16,1078798.0923779754,1161.7072754900807,0.5772980119850835
Alta intensidad,0.16333333333333333,1079718.8186487232,1165.3271724877643,0.5715538007978339
Alta intensidad,0.16666666666666669,1080691.138814262,1168.9595362357243,0.5658667454809008
Alta intensidad,0.17,1081714.6732221958,1172.604389740284,0.5602362773191788
Alta intensidad,0.17333333333333334,1082789.0455423556,1176.2617563357637,0.5546618332462266
Alta intensidad,0.17666666666666667,1083913.882780678,1179.9316596823433,0.5491428557976644
Alta intensidad,0.18000000000000002,1085088.8152426835,1183.614123766049,0.5436787931015997
Alta intensidad,0.18333333333333335,1086313.4766590355,1187.3091728918957,0.5382690987499605
Alta intensidad,0.18666666666666668,1087587.504188638,1191.0168316822019,0.5329132317598086
Alta intensidad,0.19,1088910.5384417844,1194.7371250740523,0.5276106565198306
Alta intensidad,0.19333333333333336,1090282.2234332117,1198.4700783193598,0.5223608427791339
Alta intensidad,0.19666666666666668,1091702.2066415476,1202.215716980942,0.5171632655708562
Alta intensidad,0.2,1093170.1390806227,1205.974066928166,0.5120174051285106
Alta intensidad,0.20333333333333334,1094685.675296151,1209.7451543353714,0.5069227468480507
Alta intensidad,0.2066666666666667,1096248.473367164,1213.5290056800557,0.5018787812453191
Alta intensidad,0.21000000000000002,1097858.1948445314,1217.3256477432244,0.49688500394748003
Alta intensidad,0.21333333333333335,1099514.5048918056,1221.1351076027647,0.4919409155751554
Alta intensidad,0.21666666666666667,1101217.0722732027,1224.9574126320945,0.48704602170714295
Alta intensidad,0.22,1102965.5693666935,1228.7925904979377,0.4821998328315241
Alta intensidad,0.22333333333333336,1104759.6720982234,1232.6406691606783,0.4774018643354716
Alta intensidad,0.22666666666666668,1106599.0599965628,1236.5016768707542,0.4726516364354134
Alta intensidad,0.23,1108483.416261606,1240.3756421646237,0.4679486741005511
Alta intensidad,0.23333333333333334,1110412.4277480564,1244.26259386349,0.4632925070182087
Alta intensidad,0.2366666666666667,1112385.7849610278,1248.1625610716278,0.4586826695527579
Alta intensidad,0.24000000000000002,1114403.1819910153,1252.0755731766333,0.4541187007329183
Alta intensidad,0.24333333333333335,1116464.3166172805,1256.001659844317,0.4496001441602505
Alta intensidad,0.24666666666666667,1118568.890286894,1259.9408510175494,0.4451265479758621
Alta intensidad,0.25,1120716.6081114057,1263.893176914557,0.4406974648188765
Alta intensidad,0.25333333333333335,1122907.1788833272,1267.858668026542,0.43631245177413974
Alta intensidad,0.2566666666666667,1125140.315070211,1271.8373551160696,0.431971070332308
Alta intensidad,0.26,1127415.732802559,1275.8292692156513,0.4276728863532245
Alta intensidad,0.26333333333333336,1129733.1518756778,1279.8344416258608,0.42341747002132196
Alta intensidad,0.26666666666666666,1132092.2957558397,1283.8529039133157,0.4192043957992683
Alta intensidad,0.27,1134492.8916203422,1287.8846879075786,0.415033242364918
Alta intensidad,0.2733333333333334,1136934.6702961843,1291.929825701304,0.4109035925980368
